**********************
Windows PowerShell transcript start
Start time: 20260621221744
Username: LLM-01\miyut
RunAs User: LLM-01\miyut
Configuration Name:
Machine: LLM-01 (Microsoft Windows NT 10.0.26200.0)
Host Application: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -Command try { [Console]::OutputEncoding=[System.Text.Encoding]::UTF8 } catch {}
$root = 'D:\Xpotato-apps\Selfrionette-mujoco\docs\experiment-notes\2026-06-21-r7-a-lite-data'; $log = Join-Path $root 'com5-calibrated-transcript.txt'; Start-Transcript -LiteralPath $log -Force | Out-Null; try { & .\scripts\monitor_loadcell_serial.ps1 -Port COM5 -Calibrate -DurationSeconds 12 } finally { Stop-Transcript | Out-Null } ; Get-Item $log | Select-Object FullName, Length
Process ID: 47984
PSVersion: 5.1.26100.8457
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.8457
BuildVersion: 10.0.26100.8457
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Opening COM5 at 115200 baud.
Keys: p=pause, r=resume, c=send calibration, q=quit.
Display levels: normal<=vector, paused<=status
Sent: c
status,calibration_command_received
status,calibration_start
[calibration running]
status,calibration_channel_start,0,0
status,calibration_channel_end,0,818
status,calibration_channel_start,1,0
status,calibration_channel_end,1,-141073
status,calibration_channel_start,2,0
status,calibration_channel_end,2,-92766
status,calibration_channel_start,3,0
status,calibration_channel_end,3,50513
status,calibration_channel_start,4,0
status,calibration_channel_end,4,123284
status,calibration_channel_start,5,0
status,calibration_channel_end,5,847
status,calibration_channel_start,6,0
status,calibration_channel_end,6,9447
status,calibration_end
[calibration complete]
[resumed]
vector,2152956,-37.67,99.06,137.60,242.13,277.34,25.87,-18.67
vector,2152963,-4.67,-125.94,-133.40,-138.87,223.34,7.87,-111.67
vector,2152976,-11.67,-347.94,-1.40,-4.87,142.34,31.87,-126.67
vector,2152989,-7.67,546.06,83.60,162.13,-555.66,-29.13,200.33
vector,2153001,-31.67,-856.94,146.60,21.13,4.34,35.87,177.33
vector,2153014,1.33,56.06,159.60,56.13,167.34,63.87,148.33
vector,2153026,-18.67,259.06,40.60,53.13,-198.66,-27.13,-108.67
vector,2153038,15.33,-905.94,59.60,58.13,398.34,40.87,-149.67
vector,2153051,-214.67,873.06,-104.40,-66.87,-462.66,16.87,123.33
vector,2153064,11.33,-357.94,0.60,-57.87,-92.66,-44.13,-135.67
vector,2153075,-5.67,316.06,104.60,43.13,419.34,-7.13,65.33
vector,2153089,27.33,1026.06,172.60,150.13,-280.66,8.87,249.33
vector,2153101,6.33,-730.94,173.60,130.13,-171.66,76.87,237.33
vector,2153114,32.33,324.06,45.60,-28.87,-148.66,-55.13,174.33
vector,2153125,-34.67,184.06,-145.40,40.13,-88.66,9.87,93.33
vector,2153138,-62.67,-850.94,145.60,42.13,55.34,34.87,203.33
vector,2153151,21.33,1116.06,112.60,-29.87,-82.66,34.87,-129.67
vector,2153163,-18.67,7.06,127.60,136.13,283.34,-0.13,-156.67
vector,2153176,24.33,-491.94,34.60,34.13,390.34,-50.13,-149.67
vector,2153188,-4.67,795.06,-295.40,-64.87,20.34,60.87,-116.67
vector,2153201,6.33,-856.94,10.60,17.13,272.34,75.87,62.33
vector,2153214,-13.67,642.06,79.60,-109.87,339.34,-9.13,-143.67
vector,2153226,-16.67,622.06,35.60,-19.87,-301.66,-12.13,-155.67
vector,2153238,-15.67,-904.94,64.60,21.13,374.34,13.87,15.33
vector,2153250,0.33,1030.06,-173.40,65.13,23.34,-6.13,-166.67
vector,2153264,-69.67,-44.94,118.60,-72.87,238.34,12.87,-147.67
vector,2153276,-52.67,-167.94,139.60,-125.87,195.34,7.87,-128.67
vector,2153289,51.33,-64807.94,-171.40,-9.87,-294.66,58.87,-191.67
vector,2153300,7.33,-238.94,40.60,249.13,57.34,9.87,229.33
vector,2153313,1.33,195.06,-52.40,-155.87,238.34,66.87,-188.67
vector,2153326,-29.67,319.06,-54.40,-262.87,-106.66,-10.13,-162.67
vector,2153338,25.33,-818.94,104.60,97.13,388.34,-44.13,-103.67
vector,2153351,-8.67,855.06,-178.40,-261.87,-33.66,-11.13,-181.67
vector,2153364,-38.67,111.06,18.60,48.13,26.34,-9.13,154.33
vector,2153376,-36.67,-719.94,189.60,46.13,216.34,-25.13,92.33
vector,2153389,52.33,1248.06,-95.40,12.13,-341.66,34.87,-6.67
vector,2153401,-12.67,-666.94,137.60,219.13,100.34,27.87,96.33
vector,2153413,12.33,746.06,-69.40,-44.87,-1.66,13.87,-139.67
warn,spike,2,-69.40
vector,2153427,0.33,669.06,-69.40,16.13,-345.66,3.87,229.33
vector,2153439,6.33,-772.94,156.60,-29.87,405.34,33.87,-6.67
vector,2153451,-24.67,852.06,-197.40,127.13,-156.66,10.87,-143.67
vector,2153464,-37.67,2.06,71.60,73.13,-152.66,33.87,267.33
vector,2153476,1.33,-288.94,170.60,78.13,584.34,46.87,-166.67
vector,2153489,7.33,972.06,-28.40,-150.87,-135.66,4.87,-203.67
vector,2153501,-31.67,-254.94,21.60,245.13,18.34,90.87,198.33
vector,2153513,19.33,-153.94,219.60,79.13,18.34,11.87,80.33
vector,2153527,-12.67,301.06,-13.40,111.13,-229.66,13.87,-51.67
vector,2153539,-66.67,-1021.94,27.60,72.13,72.34,19.87,-173.67
vector,2153551,-25.67,394.06,41.60,-40.87,222.34,-5.13,-216.67
vector,2153564,23.33,-478.94,-45.40,30.13,7.34,12.87,34.33
vector,2153576,-24.67,-737.94,83.60,16.13,423.34,-19.13,-192.67
vector,2153589,-3.67,988.06,-175.40,42.13,-227.66,-15.13,-64.67
vector,2153601,-4.67,-608.94,-364.40,141.13,86.34,17.87,76.33
vector,2153613,16.33,399.06,60.60,138.13,42.34,-7.13,-160.67
vector,2153626,-34.67,255.06,-7.40,-8.87,-77.66,-29.13,28.33
vector,2153639,-7.67,-844.94,125.60,35.13,37.34,-3.13,-9.67
vector,2153652,-1.67,700.06,-175.40,123.13,-77.66,-4.13,-128.67
vector,2153663,-28.67,19.06,-120.40,277.13,33.34,27.87,179.33
vector,2153675,53.33,-548.94,137.60,10.13,486.34,-49.13,-185.67
vector,2153689,18.33,778.06,-10.40,-38.87,-232.66,31.87,108.33
vector,2153701,10.33,-619.94,107.60,96.13,190.34,1.87,161.33
vector,2153714,32.33,-192.94,-53.40,-157.87,328.34,72.87,-167.67
vector,2153725,-9.67,597.06,-134.40,370.13,-107.66,31.87,-75.67
vector,2153740,-37.67,-833.94,62.60,45.13,358.34,2.87,-94.67
vector,2153751,41.33,890.06,-119.40,148.13,-20.66,6.87,-89.67
vector,2153763,75.33,-223.94,76.60,73.13,-44.66,37.87,30.33
vector,2153777,22.33,-33007.94,141.60,98.13,393.34,22.87,-267.67
vector,2153788,-11.67,1063.06,-117.40,-8.87,-236.66,74.87,51.33
vector,2153801,0.33,-289.94,77.60,-22.87,211.34,-111.13,-113.67
vector,2153814,34.33,261.06,91.60,71.13,66.34,6.87,2.33
vector,2153826,-25.67,621.06,-58.40,3.13,65.34,-40.13,-168.67
vector,2153838,-13.67,-887.94,86.60,145.13,296.34,42.87,46.33
vector,2153852,-1.67,721.06,-63.40,216.13,42.34,51.87,237.33
vector,2153864,18.33,139.06,155.60,-42.87,-58.66,3.87,-75.67
